id,user_id,hotel_id,comment,status
150,100000385743083,973241522755751,"Sự lựa chọn tuyệt vời cho kỳ nghỉ của bạn! Mình đã ở đây 2 đêm 28,29/5 dịch vụ tuyệt vời",1
151,100000392109854,485786431445960,Đẹp mà... bảo vệ nhiệt tình hướng dẫn chu đáo,1
152,100000392633667,1417201508570124,"Great hostel, great staff - would highly recommend!!!",1
153,100000401709621,237861679739114,Resort của các bạn phục vụ rất chuyên nghiệp..tôi sẽ ghé lại trong thời gian gần nhất. Một lần nữa cảm ơn các bạn đã đón tiếp tôi rất nhiệt tình.,1
154,100000411600897,1639889169610412,"Tính vài tháng nữa mới review, cơ mà thấy thái độ nhân viên tốt quá, dịch vụ ổn, giá cả phải chăng nên cho 5* luôn. Chúc Camellia Spa phát triển tốt.",1
155,100000414590955,159149310881264,Lung Linh,1
156,100000415114401,208028559374693,good,1
157,100000415164509,1110145009064097,Simply the best,1
158,100000419470239,235635661555,"Khách sạn này ở hàng điếu , khi nào ra hà nội mình cũng ỡ, ks thì nhỏ thui , phòng cũng nhỏ nhưng thiết kế rất dễ thương với lại nhân viên phục vụ thì nhiệt tình, quan trọng nhất là giá tiền ok",1
159,100000420952875,155155304551627,Good service  good price  best location,1
160,100000424590303,485786431445960,It's the most beautiful hotel that i've ever seen in Hanoi,1
161,100000440136062,323940062859,Love the place,1
162,100000441650898,323940062859,Nice been there,1
163,100000442948814,766069070177769,đêm lại 1 kỳ nghỉ mát tuyệt vời.,1
164,100000445901478,323940062859,"Beautiful rooms! Love the steam room &amp; shower! The beds are lumpy, so not comfortable. You can hear your neighbors through the wall! I checked out a day early, couldn't wait to get home.",1
165,100000446076393,172095542845814,great room and view bridge at night.,1
166,100000446695164,1446389425666881,Đẹp,1
167,100000449301697,1599698676934263,"We loved our stay here. Wished we could stay longer! The staff members are incredibly sweet and the rooms are amazing, looks like a 5 star hotel. We even did a cooking class here, went to a local market and learned how to cook some local dishes. Loved it, would recommend everyone to stay here:);!",1
168,100000450836922,1571612506414924,"Been visiting Mojacar for 9 years now and Wendy has been with me all the way! Trustworthy, helpful and always goes above and beyond her rental role. There is never a problem Wendy cannot resolve and has always looked after us with first class service. Will carry on with Wendy and  Blue sea villas for many more years to come. Keep up the fantastic work! :); Would highly recommend Wendy for all your rental needs in Mojacar.",1
169,100000452034964,189209361267196,"Definitly one of the best Hotels I've ever visited. Unbeatable staff and location, I will recommend this Place to everybody who want's to stay in the heart of Hanoi. Hope to see you again anytime",1
170,100000453371850,1599698676934263,Beautiful homestay with the lovely staff that make the stay more enjoyable. Nice and large rooms with well equipped and modern facilities which are very comfortable. We love our stay very much and would love to recommend this homestay in Hoi an to other travellers in the world! Jolie Villa Hoi An Homestay,1
171,100000465458576,1571612506414924,"The team at Blue Sea Villas are completely out of this world. Both the office staff and the guys in the field went out there way ten fold to make sure we were looked after. I cannot recommend a better company to help plan your holiday. Good people, genuinely friendly, 100% recommend. Thanks again everyone.",1
172,100000468044208,850047381738094,Really good .... Clean room kind hotel.,1
173,100000473146298,929778327061583,One of the best option for the guys who want to get the new feeling in Hanoi.,1
174,100000478155810,1599698676934263,You guys are the best. Next time we're in hoi an we'll be back.,1
175,100000478475970,462266583941871,"Sạch sẽ, tiện nghi và gần tt",1
176,100000478596162,404504799581024,we are pleased to have the experience of staying in this hotel. Thanks to the staff for our beautiful vacation. You are gorgeous!,1
177,100000481293995,1571612506414924,"Just back from a week with Blue Sea Villas, fantastic holiday, great team nothing is too much trouble thanks John for all your help see you all again in September",1
178,100000483690847,373884852802926,Very nice and friendly! Clean Rooms and extraordanary service.  Will come back here for sure!,1
179,100000484309499,323940062859,I never been but it looks nice,1
180,100000490232774,323940062859,WONDERFUL TIME ENJOYED EVERYTHING WAS A. LIKE A FANTASY ALL IN ONE SO MUCH ROOM IN SO MANY THINGS TO DO,1
181,100000490538158,667826629949888,goodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgoodgood,1
182,100000499538487,1571612506414924,"Amazing holiday with a clean, spacious apartment. Nothing was too much trouble and all the staff were professional and courteous at all times . So good that we booked the same apartment for September before this holiday had ended . Well done blue sea villas, fantastic holiday.",1
183,100000505997036,323940062859,Great getaway without having to go far.,1
184,100000508580369,323940062859,Beautiful,1
185,100000508978687,1070723119658555,"Im from korea. Hostel owner is very very kind and speak English fluently. Many time he help me to do everything and give me information about danang and other things. His wife cook breakfast everymoring. Its very special comparing with another hostel and u can eat delicious food. Staff also kind and their English is good. Price is reasonable and cheap. Location is not bad. U can find seafood restaurant , market easily and go to the beach by walk in 5 minute. If i have chance to visit to danang again. I wanna come to here again.",1
186,100000517833524,850047381738094,Great hotel,1
187,100000518751905,1486141631617711,The best hotel ever &lt;3,1
188,100000520662992,485786431445960,Landscape  quá đẹp. View từ hồ bơi tuyệt vời.,1
189,100000523006531,125187904254346,"This has got to be one of the best resorts we have stayed at. The staff are so friendly, each and every single one, going above and beyond to make our stay amazing! The rooms are fantastic, the pool overlooking the ocean, divine! . We will definitely recommend and would love to return. Thank you so much Golden Sands, for making my pre 40th birthday celebrations so fabulous!",1
190,100000523352083,1571612506414924,We have had the pleasure to know Wendy in her professional arena for more than four years. She is a rare type of a real professional with a personal touch when dealing with owners and holidaymakers alike. She was praised by our former clients many times and she helps us systematically to bring the most from our property. We trust her completely. And she is a beautiful woman! Inside and out :-);,1
191,100000555115335,105713669505240,"Service is unique, they make you feel like you really are in your own home.. Thanks Aloha for your Excellent hospitality.",1
192,100000557086677,323940062859,Must go again...,1
193,100000560215445,1452357201686673,"Villas quá đẹp, không gian yên tỉnh, ấm cúng nữa và đặt biệt là nhân viên rất chu đáo và nhiệt tình. Nếu ra Hội An tôi sẽ quay lại East West Villas lần nữa.",1
194,100000565100486,1430101293925015,love it ! nice people there . Rose and her team are just great people.. You will feel home .,1
195,100000569987631,502860436485487,Very good service on all fronts and aspects.Quick and convinient check-in an check out by the staff members.Excellent room service. Loved the food.All stay members are cooperative.,1
196,100000578583645,294101497297215,"lovely people, great help!",1
197,100000579036875,587061914673794,"This is a a wonderful place to relax and enjoy luxury. The staff are wonderful and cater to any request you have. It is set amongst rice paddies. Have breakfast looking at the buffalo out in the paddock and the pool also looks over the paddies. If you want the five stars by the beaches, they are the same here as in any tropical location. But out in the fields is wonderfully peaceful. I cant recommend this accomodation highly enough.",1
198,100000581923552,147680342090458,Good Services and location,1
199,100000585930177,323940062859,It was nice!!!!,1
200,100000590071725,808997689166234,The best stay in vietnam with really friendly and lovely people who take care of you. Hope we'll come back soon.,1
201,100000599706915,307887762562072,Wir genießen die freundliche Umgebung,1
202,100000603379546,151462301571537,My sweet home.,1
203,100000605558273,155415196088,Nice place to stay.,1
204,100000606575905,323940062859,The best kept little secret!!!,1
205,100000608978968,1070723119658555,Great hostel!!! tks,1
206,100000609208444,155415196088,Con nhà mình khoái nhất cái bồn tắm,1
207,100000610132531,323940062859,Nice,1
208,100000613708894,1599698676934263,"Ở Jolie 1 đêm thôi nhưng rất tuyệt :);. Ai cũng dễ thương hết trơn :* . Phòng sạch sẽ, thiết kế đẹp và thoáng mát nên mình rất thích :*. Cảm ơn Jolie nhiều nhé",1
209,100000614467904,1571612506414924,Just come back from a weeks holiday in Mojacar staying in Casa Rana! It was absolutely awesome with a swimming pool and air conditioned bedrooms. The villa was beautiful and the agents were so friendly and helpful! Thank you! I would recommend anyone to go there!,1
210,100000615980048,869029879802845,Great,1
211,100000618298605,469965193057993,"We enjoyed everything about our stay . Staff were professional and freindly . Great food and great location , clean and cheap . Very happy customers . We would love to come back . Thank you Mr Winter and staff",1
212,100000619275066,1402376883388507,Perfect!,1
213,100000631642469,208028559374693,Spectacular beach view from hotel room. I really enjoyed the main swimming pool on ground floor and private one on rooftop. Worth staying here.,1
214,100000637753213,155415196088,Nice sleep,1
