,0,1,2,3,4,5,6,7,8,9
100006432816839,308822925903893,155415196088,164636565409,211418062225555,395874417233821,262929017175213,305305996195134,186513324707814,177852742263101,110449969042552
100008269561450,155415196088,164636565409,655465514521111,211418062225555,355318834582376,469965193057993,485786431445960,360146510790751,451125094971218,323940062859
100000767123248,211418062225555,164636565409,670533439634662,204179999622558,120230848080105,1437932199754399,120477108108421,305305996195134,451125094971218,360146510790751
100000310105520,211418062225555,308822925903893,372832266226334,355318834582376,1437932199754399,360146510790751,469965193057993,305305996195134,518898878175981,1431622807089649
100004963330288,211418062225555,355318834582376,164636565409,469965193057993,305305996195134,219178058280346,359010427525572,655465514521111,670533439634662,213011165430942
100002771788104,670533439634662,1673394289542542,211418062225555,359010427525572,164636565409,308822925903893,1494626907472131,217691105052968,355318834582376,465704200150560
100000007603931,164636565409,155415196088,211418062225555,308822925903893,670533439634662,217691105052968,221652474655457,405037762927149,117843318367122,485991018197585
1652543632,485786431445960,211418062225555,155415196088,305305996195134,161719933937426,469965193057993,210824802405318,355318834582376,212192215580475,110449969042552
100002621631436,164636565409,655465514521111,338116306284202,110449969042552,451125094971218,355318834582376,670533439634662,305305996195134,465704200150560,713821132013725
100005843806269,155415196088,164636565409,485786431445960,713821132013725,670533439634662,211418062225555,359010427525572,207161862741164,338116306284202,1486141631617711
100009452985649,120230848080105,308822925903893,211418062225555,158689674204368,465704200150560,727283567282040,164636565409,177852742263101,172095542845814,1673394289542542
100011547908899,155415196088,211418062225555,485786431445960,655465514521111,360146510790751,158689674204368,217691105052968,164636565409,262929017175213,1431622807089649
1004474797,164636565409,155415196088,469965193057993,355318834582376,713821132013725,262929017175213,411461885661959,211418062225555,1431622807089649,217691105052968
100000219526555,439921372737138,164636565409,262929017175213,217691105052968,937116373005616,518898878175981,286328794792713,343606679138879,158689674204368,211418062225555
559701552,670533439634662,155415196088,655465514521111,164636565409,485786431445960,117843318367122,155155304551627,355318834582376,308822925903893,186513324707814
100002068708844,164636565409,439921372737138,155415196088,211418062225555,485786431445960,469965193057993,359010427525572,516605178499409,360146510790751,533073550096928
27302595,164636565409,355318834582376,211418062225555,177852742263101,305305996195134,670533439634662,158689674204368,954910091191058,1417201508570124,338116306284202
100001074840096,211418062225555,670533439634662,286328794792713,771535426236551,117843318367122,485786431445960,1431622807089649,667509943311630,308822925903893,207161862741164
100012545056456,355318834582376,177852742263101,469965193057993,670533439634662,1417201508570124,485786431445960,217691105052968,359010427525572,771535426236551,926555167359486
100001376660672,305305996195134,164636565409,655465514521111,155415196088,210824802405318,211418062225555,355318834582376,713821132013725,469965193057993,207161862741164
100002614980807,465704200150560,207161862741164,164636565409,439921372737138,186513324707814,155415196088,360146510790751,771535426236551,713821132013725,211418062225555
100003772971199,211418062225555,485786431445960,158689674204368,164636565409,469965193057993,153930936150,439921372737138,161719933937426,186513324707814,360146510790751
100005803532298,655465514521111,184104295002919,164636565409,338116306284202,1431622807089649,155415196088,177852742263101,670533439634662,211418062225555,355318834582376
100004986103753,670533439634662,286328794792713,222601121190472,117843318367122,164636565409,850047381738094,262929017175213,155415196088,469965193057993,120230848080105
664003959,386201611531603,155415196088,164636565409,465704200150560,177852742263101,308822925903893,120230848080105,395874417233821,323940062859,809414062463342
729482138,155415196088,158689674204368,286328794792713,164636565409,465704200150560,411461885661959,177852742263101,288771624653441,186513324707814,451125094971218
100007732368416,155415196088,211418062225555,355318834582376,177852742263101,670533439634662,262929017175213,164636565409,1437932199754399,360146510790751,655465514521111
100000011204996,355318834582376,308822925903893,164636565409,655465514521111,485786431445960,713821132013725,212192215580475,262929017175213,1486141631617711,359010427525572
100000033283940,355318834582376,670533439634662,713821132013725,211418062225555,1486141631617711,164636565409,667826629949888,411461885661959,485786431445960,117843318367122
100000036531306,211418062225555,485786431445960,405037762927149,155415196088,164636565409,161719933937426,180030915345034,954910091191058,1431622807089649,355318834582376
100000161385568,405037762927149,155415196088,411461885661959,164636565409,670533439634662,469965193057993,713821132013725,204179999622558,395874417233821,177852742263101
100000419470239,155415196088,164636565409,655465514521111,158689674204368,110449969042552,120230848080105,1437932199754399,1571612506414924,405037762927149,670533439634662
100000490538158,155415196088,211418062225555,217691105052968,469965193057993,164636565409,360146510790751,485786431445960,582704741815201,670533439634662,405037762927149
100000609208444,411461885661959,360146510790751,155415196088,186513324707814,355318834582376,582704741815201,1417201508570124,338116306284202,1437932199754399,1431622807089649
100001303770837,164636565409,158689674204368,211418062225555,713821132013725,670533439634662,155415196088,308822925903893,155155304551627,1673394289542542,204179999622558
100001666335248,164636565409,211418062225555,155415196088,355318834582376,1486141631617711,288771624653441,655465514521111,360146510790751,670533439634662,359010427525572
100003060233648,211418062225555,155415196088,670533439634662,360146510790751,164636565409,177852742263101,404504799581024,713821132013725,359010427525572,305305996195134
100003313892200,155415196088,211418062225555,120230848080105,186513324707814,158689674204368,305305996195134,180030915345034,655465514521111,1431622807089649,771535426236551
100004315753402,120230848080105,451125094971218,355318834582376,155155304551627,411461885661959,727283567282040,485786431445960,439921372737138,262929017175213,110449969042552
100004333637697,655465514521111,359010427525572,211418062225555,465704200150560,1673394289542542,713821132013725,338116306284202,670533439634662,164636565409,411461885661959
100004710841451,155415196088,355318834582376,465704200150560,211418062225555,469965193057993,755009684522390,670533439634662,217691105052968,164636565409,411461885661959
100004888687580,485786431445960,217691105052968,164443800279534,164636565409,485991018197585,465704200150560,155415196088,211418062225555,727283567282040,236935129681684
100005405861610,305305996195134,159319357432792,155415196088,360146510790751,404504799581024,373884852802926,1417201508570124,655465514521111,641357072659000,485786431445960
100005575987290,211418062225555,1437932199754399,359010427525572,405037762927149,286328794792713,670533439634662,262929017175213,518898878175981,164636565409,155415196088
100005586607736,308822925903893,155415196088,211418062225555,164636565409,771535426236551,405037762927149,117843318367122,365683270164409,451125094971218,485786431445960
100005752234150,155415196088,164636565409,670533439634662,117843318367122,405037762927149,485786431445960,1431622807089649,305305996195134,875179239239325,411461885661959
100006073659169,164636565409,469965193057993,713821132013725,670533439634662,155415196088,439921372737138,360146510790751,359010427525572,1431622807089649,355318834582376
100006293718247,155415196088,153930936150,117843318367122,210824802405318,1431622807089649,655465514521111,186513324707814,180030915345034,1502218643346817,850047381738094
